ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
2018-0100,9/20/2018,SD,FEMENINO,33.0,9/20/2018
2018-0101,9/21/2018,CONDUCTOR,MASCULINO,,9/21/2018
2018-0102,9/21/2018,CONDUCTOR,MASCULINO,20.0,9/21/2018
2018-0103,9/27/2018,PEATON,MASCULINO,1.0,9/29/2018
2018-0104,10/1/2018,CONDUCTOR,MASCULINO,22.0,10/1/2018
2018-0105,10/3/2018,PEATON,FEMENINO,56.0,10/3/2018
2018-0106,10/4/2018,CONDUCTOR,MASCULINO,27.0,10/4/2018
2018-0107,10/6/2018,PEATON,FEMENINO,62.0,10/6/2018
2018-0108,10/9/2018,CONDUCTOR,MASCULINO,37.0,10/10/2018
2018-0109,10/10/2018,PEATON,MASCULINO,34.0,10/10/2018
2018-0110,10/13/2018,PEATON,MASCULINO,60.0,10/14/2018
2018-0111,10/19/2018,CONDUCTOR,MASCULINO,28.0,10/19/2018
2018-0112,10/24/2018,CONDUCTOR,FEMENINO,28.0,10/24/2018
2018-0113,10/25/2018,CONDUCTOR,MASCULINO,20.0,10/25/2018
2018-0114,10/30/2018,CONDUCTOR,MASCULINO,23.0,10/30/2018
2018-0115,10/31/2018,PEATON,MASCULINO,42.0,11/1/2018
2018-0116,11/1/2018,PEATON,MASCULINO,48.0,11/8/2018
2018-0117,11/4/2018,CONDUCTOR,MASCULINO,30.0,11/8/2018
2018-0118,11/5/2018,PEATON,FEMENINO,80.0,11/5/2018
2018-0119,11/5/2018,PEATON,FEMENINO,32.0,11/6/2018
2018-0120,11/9/2018,PEATON,FEMENINO,51.0,11/20/2018
2018-0121,11/9/2018,PEATON,FEMENINO,72.0,11/9/2018
2018-0122,11/12/2018,CONDUCTOR,MASCULINO,33.0,11/12/2018
2018-0123,11/12/2018,CONDUCTOR,MASCULINO,25.0,11/12/2018
2018-0124,11/15/2018,CONDUCTOR,MASCULINO,44.0,11/15/2018
2018-0125,11/16/2018,PEATON,MASCULINO,29.0,11/17/2018
2018-0126,11/18/2018,CONDUCTOR,MASCULINO,27.0,11/23/2018
2018-0127,11/19/2018,CONDUCTOR,MASCULINO,29.0,11/19/2018
2018-0128,11/25/2018,PASAJERO,MASCULINO,49.0,11/25/2018
2018-0128,11/25/2018,PASAJERO,FEMENINO,39.0,11/25/2018
2018-0129,11/28/2018,CONDUCTOR,MASCULINO,37.0,11/30/2018
2018-0130,12/3/2018,CONDUCTOR,MASCULINO,,12/3/2018
2018-0131,12/7/2018,CONDUCTOR,MASCULINO,29.0,12/7/2018
2018-0132,12/12/2018,PEATON,MASCULINO,70.0,12/12/2018
2018-0133,12/12/2018,PEATON,FEMENINO,60.0,12/12/2018
2018-0134,12/12/2018,PEATON,MASCULINO,56.0,12/13/2018
2018-0135,12/18/2018,PEATON,MASCULINO,80.0,12/22/2018
2018-0136,12/18/2018,PEATON,FEMENINO,70.0,12/18/2018
2018-0137,12/18/2018,PASAJERO,MASCULINO,29.0,12/19/2018
2018-0138,12/21/2018,PASAJERO,FEMENINO,79.0,12/21/2018
2018-0139,12/22/2018,PASAJERO,MASCULINO,28.0,12/24/2018
2018-0140,12/22/2018,CONDUCTOR,MASCULINO,78.0,12/22/2018
2018-0141,12/22/2018,PEATON,MASCULINO,75.0,12/24/2018
2018-0142,12/25/2018,PASAJERO,MASCULINO,32.0,1/1/2019
2018-0143,12/29/2018,CONDUCTOR,MASCULINO,22.0,12/29/2018
