ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,gen_bin,AAAA,MES,AÑO_FALLECIMIENTO,MES_FALLECIMIENTO
2017-0018,2017-02-09,CONDUCTOR,MASCULINO,30.0,2017-02-09,0.0,2017,2,2017.0,2.0
2017-0021,2017-02-18,CONDUCTOR,MASCULINO,43.0,2017-02-18,0.0,2017,2,2017.0,2.0
2017-0024,2017-02-23,PEATON,MASCULINO,39.0,2017-02-23,0.0,2017,2,2017.0,2.0
2017-0025,2017-02-24,CONDUCTOR,MASCULINO,23.0,2017-02-24,0.0,2017,2,2017.0,2.0
2017-0026,2017-02-26,PASAJERO,FEMENINO,23.0,2017-02-26,1.0,2017,2,2017.0,2.0
2017-0026,2017-02-26,CONDUCTOR,MASCULINO,19.0,2017-02-26,0.0,2017,2,2017.0,2.0
2017-0027,2017-02-26,PEATON,MASCULINO,,2017-02-26,0.0,2017,2,2017.0,2.0
2017-0028,2017-02-28,PEATON,MASCULINO,87.0,2017-02-28,0.0,2017,2,2017.0,2.0
2017-0029,2017-03-07,SD,MASCULINO,34.0,2017-03-07,0.0,2017,3,2017.0,3.0
2017-0030,2017-03-07,CONDUCTOR,FEMENINO,27.0,2017-03-07,1.0,2017,3,2017.0,3.0
2017-0031,2017-03-11,PASAJERO,MASCULINO,70.0,2017-03-11,0.0,2017,3,2017.0,3.0
2017-0032,2017-03-12,PASAJERO,FEMENINO,40.0,2017-03-12,1.0,2017,3,2017.0,3.0
2017-0033,2017-03-12,CONDUCTOR,MASCULINO,28.0,2017-03-12,0.0,2017,3,2017.0,3.0
2017-0034,2017-03-13,PEATON,MASCULINO,43.0,2017-03-13,0.0,2017,3,2017.0,3.0
2017-0035,2017-03-23,CONDUCTOR,MASCULINO,28.0,2017-03-23,0.0,2017,3,2017.0,3.0
2017-0035,2017-03-23,PASAJERO,MASCULINO,32.0,2017-03-23,0.0,2017,3,2017.0,3.0
2017-0035,2017-03-23,PASAJERO,MASCULINO,30.0,2017-03-23,0.0,2017,3,2017.0,3.0
